,rating,genre,star,budget,runtime,star_net_worth
21597,R,Drama,John Travolta,19000000.0,115.0,250000000.0
21781,R,Horror,Robert Englund,3000000.0,87.0,16000000.0
21803,R,Action,Steve Railsback,25000000.0,101.0,2000000.0
21813,PG,Adventure,Paul Reubens,6000000.0,91.0,5000000.0
21822,PG,Biography,Meryl Streep,31000000.0,161.0,160000000.0
21832,Not Rated,Horror,Lori Cardille,3500000.0,101.0,
21873,PG-13,Adventure,Chevy Chase,17000000.0,95.0,50000000.0
21881,PG,Adventure,Chevy Chase,22000000.0,102.0,50000000.0
21893,R,Comedy,William Katt,3000000.0,93.0,500000.0
21923,PG-13,Comedy,Steve Guttenberg,7600000.0,87.0,14000000.0
21933,PG,Animation,Grant Bardsley,44000000.0,80.0,
21945,R,Horror,Melanie Kinnaman,2200000.0,92.0,
21955,R,Action,Jon Voight,9000000.0,111.0,55000000.0
21978,Unrated,Comedy,Jeffrey Combs,900000.0,104.0,
21995,PG,Comedy,Richard Pryor,20000000.0,102.0,40000000.0
22043,PG-13,Action,Taimak,10000000.0,109.0,400000.0
22074,PG-13,Comedy,Rosanna Arquette,4500000.0,104.0,20000000.0
22115,R,Drama,Jeff Bridges,15000000.0,108.0,100000000.0
22123,PG-13,Action,Dennis Quaid,40000000.0,108.0,30000000.0
22150,PG,Action,Michael Douglas,25000000.0,106.0,350000000.0
22158,PG-13,Comedy,Lauren Hutton,3200000.0,94.0,10000000.0
22225,R,Action,Jeff Goldblum,8000000.0,115.0,40000000.0
22408,PG-13,Comedy,John Cusack,4500000.0,95.0,50000000.0
22416,PG-13,Drama,Mikhail Baryshnikov,20000000.0,136.0,45000000.0
22494,R,Horror,Gary Busey,7000000.0,95.0,500000.0
22518,PG-13,Adventure,Nicholas Rowe,18000000.0,109.0,
22529,PG-13,Drama,Treat Williams,2400000.0,92.0,10000000.0
22537,R,Comedy,Dan Monahan,9000000.0,92.0,
22545,R,Action,Mickey Rourke,24000000.0,134.0,10000000.0
22571,R,Drama,Bruno Lawrence,1000000.0,91.0,
22670,R,Biography,Ken Ogata,5000000.0,120.0,
22679,PG-13,Drama,Michael Douglas,27000000.0,113.0,350000000.0
22708,PG-13,Comedy,Drew Barrymore,7000000.0,94.0,125000000.0
22716,PG-13,Comedy,Sally Field,13000000.0,107.0,55000000.0
22777,PG,Comedy,Kevin Costner,7000000.0,91.0,250000000.0
22858,R,Action,Charles Bronson,9000000.0,92.0,65000000.0
22873,PG-13,Action,Richard Chamberlain,12500000.0,100.0,20000000.0
22921,R,Action,Michael Dudikoff,1000000.0,95.0,1500000.0
22951,PG,Comedy,Jeff Goldblum,3000000.0,93.0,40000000.0
22966,R,Drama,Helen Shaver,1250000.0,91.0,10000000.0
22983,PG,Comedy,Mia Farrow,15000000.0,82.0,60000000.0
22991,PG,Comedy,Tom Hanks,16000000.0,92.0,400000000.0
23127,R,Action,Chuck Norris,10000000.0,107.0,70000000.0
23136,PG,Adventure,Al Pacino,28000000.0,126.0,120000000.0
23425,R,Action,Chuck Norris,7000000.0,101.0,70000000.0
23465,PG-13,Comedy,Louise Lasser,3000000.0,83.0,1500000.0
23790,PG-13,Drama,Jane Fonda,10000000.0,98.0,200000000.0
23824,R,Action,Burt Reynolds,22000000.0,109.0,3000000.0
23839,PG-13,Fantasy,Sting,13000000.0,118.0,6300000000.0
24016,PG,Action,Raymond Burr,2000000.0,87.0,15000000.0
24026,R,Drama,Meryl Streep,10000000.0,121.0,160000000.0
24044,PG-13,Adventure,Richard Gere,22000000.0,114.0,120000000.0
24098,R,Action,Chuck Norris,2410000.0,100.0,70000000.0
