,title,rating,genre,score,star,budget,runtime,star_net_worth,movie_star_rating
68609,Addams Family Values,PG-13,Comedy,6.8,Anjelica Huston,47000000,94,50000000,B
68661,The Age of Innocence,PG,Drama,7.2,Daniel Day-Lewis,34000000,139,60000000,B
69449,Sliver,R,Drama,5,Sharon Stone,40000000,107,60000000,B
69501,Much Ado About Nothing,PG-13,Comedy,7.3,Kenneth Branagh,11000000,111,60000000,B
69772,Malice,R,Crime,6.4,Alec Baldwin,20000000,107,60000000,B
69888,Matinee,PG,Comedy,6.9,John Goodman,13000000,99,65000000,B
70143,For Love or Money,PG,Comedy,6.2,Michael J. Fox,30000000,96,65000000,B
71366,Manhattan Murder Mystery,PG,Comedy,7.3,Woody Allen,13500000,104,140000000,B
71413,Made in America,PG-13,Comedy,5.1,Whoopi Goldberg,22000000,111,60000000,B
71656,CB4,R,Comedy,6.3,Chris Rock,6000000,89,60000000,B
72619,Mr. Jones,R,Drama,5.8,Richard Gere,25000000,114,120000000,B
72705,Money for Nothing,R,Comedy,5.7,John Cusack,11000000,100,50000000,B
72905,Mother's Boys,R,Drama,5.4,Jamie Lee Curtis,8000000,96,60000000,B
73066,The Shawshank Redemption,R,Drama,9.3,Tim Robbins,25000000,142,70000000,B
73404,Stargate,PG-13,Action,7.1,Kurt Russell,55000000,116,100000000,B
73480,Natural Born Killers,R,Action,7.3,Woody Harrelson,34000000,118,70000000,B
73541,Four Weddings and a Funeral,R,Comedy,7.1,Hugh Grant,4400000,117,150000000,B
73559,The Flintstones,PG,Comedy,4.9,John Goodman,46000000,91,65000000,B
73604,Little Women,PG,Drama,7.3,Susan Sarandon,18000000,115,60000000,B
74058,Ed Wood,R,Biography,7.8,Johnny Depp,18000000,127,150000000,B
74067,Star Trek: Generations,PG,Action,6.6,Patrick Stewart,35000000,118,70000000,B
74561,Texas Chainsaw Massacre: The Next Generation,R,Comedy,3.3,Renée Zellweger,600000,87,90000000,B
74577,Blown Away,R,Action,6.2,Jeff Bridges,28000000,121,100000000,B
74740,The Client,PG-13,Crime,6.7,Susan Sarandon,45000000,119,60000000,B
75269,The Hudsucker Proxy,PG,Comedy,7.2,Tim Robbins,40000000,111,70000000,B
75302,The Santa Clause,PG,Comedy,6.5,Tim Allen,22000000,97,100000000,B
75580,The Shadow,PG-13,Action,6.1,Alec Baldwin,25000000,108,60000000,B
75823,Nell,PG-13,Drama,6.5,Jodie Foster,24500000,112,100000000,B
76076,Don Juan DeMarco,PG-13,Comedy,6.7,Johnny Depp,25000000,97,150000000,B
76167,Death and the Maiden,R,Drama,7.3,Sigourney Weaver,12000000,103,60000000,B
76396,Ready to Wear,R,Comedy,5.2,Sophia Loren,18000000,133,75000000,B
